sample_ID	type_code	type
TCGA-KK-A7AY-01	01	tumor
TCGA-G9-6369-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-H9-A6BY-01	01	tumor
TCGA-QU-A6IO-01	01	tumor
TCGA-EJ-A46F-01	01	tumor
TCGA-QU-A6IL-01	01	tumor
TCGA-KK-A7AZ-01	01	tumor
TCGA-M7-A71Z-01	01	tumor
TCGA-KK-A6E8-01	01	tumor
TCGA-HC-A6HY-01	01	tumor
TCGA-VP-A876-01	01	tumor
TCGA-KK-A8IB-01	01	tumor
TCGA-G9-6366-01	01	tumor
TCGA-HC-A631-01	01	tumor
TCGA-KC-A7FA-01	01	tumor
TCGA-WW-A8ZI-01	01	tumor
TCGA-KK-A8IF-01	01	tumor
TCGA-YL-A9WI-01	01	tumor
TCGA-XK-AAJ3-01	01	tumor
TCGA-J4-A67O-01	01	tumor
TCGA-VN-A88M-01	01	tumor
TCGA-XK-AAIW-01	01	tumor
TCGA-KK-A7AU-01	01	tumor
TCGA-VP-AA1N-01	01	tumor
TCGA-HC-8262-11	11	adj_norm
TCGA-HC-7738-11	11	adj_norm
TCGA-HC-7737-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-EJ-7781-11	11	adj_norm
TCGA-EJ-7315-11	11	adj_norm
TCGA-EJ-7792-11	11	adj_norm
TCGA-EJ-7786-11	11	adj_norm
TCGA-EJ-7793-11	11	adj_norm
TCGA-EJ-7797-11	11	adj_norm
TCGA-G9-6356-11	11	adj_norm
TCGA-EJ-7794-11	11	adj_norm
TCGA-EJ-7125-11	11	adj_norm
TCGA-G9-6351-11	11	adj_norm
TCGA-G9-6362-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-EJ-7314-11	11	adj_norm
TCGA-G9-6365-11	11	adj_norm
TCGA-G9-6363-11	11	adj_norm
TCGA-HC-7742-11	11	adj_norm
TCGA-EJ-7123-11	11	adj_norm
TCGA-HC-8259-11	11	adj_norm
TCGA-CH-5768-11	11	adj_norm
TCGA-CH-5769-11	11	adj_norm
TCGA-HC-7752-11	11	adj_norm
