sample_ID	type_code	type
TCGA-H9-A6BY-01	01	tumor
TCGA-EJ-A46F-01	01	tumor
TCGA-KK-A6E4-01	01	tumor
TCGA-QU-A6IL-01	01	tumor
TCGA-HC-A6AL-01	01	tumor
TCGA-MG-AAMC-01	01	tumor
TCGA-XK-AAK1-01	01	tumor
TCGA-M7-A722-01	01	tumor
TCGA-QU-A6IM-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-ZG-A9N3-01	01	tumor
TCGA-HC-A6HX-01	01	tumor
TCGA-VP-A876-01	01	tumor
TCGA-VN-A88N-01	01	tumor
TCGA-XJ-A9DX-01	01	tumor
TCGA-XK-AAJ3-01	01	tumor
TCGA-QU-A6IO-01	01	tumor
TCGA-WW-A8ZI-01	01	tumor
TCGA-KK-A7B0-01	01	tumor
TCGA-KK-A7AQ-01	01	tumor
TCGA-G9-6354-01	01	tumor
TCGA-HC-7819-01	01	tumor
TCGA-KK-A8IF-01	01	tumor
TCGA-G9-6371-01	01	tumor
TCGA-KC-A7F5-01	01	tumor
TCGA-EJ-A8FO-11	11	adj_norm
TCGA-EJ-7793-11	11	adj_norm
TCGA-EJ-7330-11	11	adj_norm
TCGA-EJ-7315-11	11	adj_norm
TCGA-EJ-7328-11	11	adj_norm
TCGA-EJ-7786-11	11	adj_norm
TCGA-EJ-7783-11	11	adj_norm
TCGA-EJ-7789-11	11	adj_norm
TCGA-EJ-7792-11	11	adj_norm
TCGA-HC-7738-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-G9-6356-11	11	adj_norm
TCGA-HC-7752-11	11	adj_norm
TCGA-G9-6351-11	11	adj_norm
TCGA-HC-7747-11	11	adj_norm
TCGA-HC-8260-11	11	adj_norm
TCGA-G9-6348-11	11	adj_norm
TCGA-EJ-7327-11	11	adj_norm
TCGA-HC-7745-11	11	adj_norm
TCGA-HC-7211-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-HC-8259-11	11	adj_norm
TCGA-EJ-7314-11	11	adj_norm
TCGA-EJ-7321-11	11	adj_norm
TCGA-G9-6333-11	11	adj_norm
