sample_ID	type_code	type
TCGA-M7-A722-01	01	tumor
TCGA-KK-A7AY-01	01	tumor
TCGA-M7-A724-01	01	tumor
TCGA-QU-A6IM-01	01	tumor
TCGA-MG-AAMC-01	01	tumor
TCGA-KK-A6E4-01	01	tumor
TCGA-HC-7752-01	01	tumor
TCGA-HC-A6AQ-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-XK-AAK1-01	01	tumor
TCGA-QU-A6IO-01	01	tumor
TCGA-QU-A6IN-01	01	tumor
TCGA-J4-A67K-01	01	tumor
TCGA-KK-A6E2-01	01	tumor
TCGA-FC-A5OB-01	01	tumor
TCGA-V1-A8ML-01	01	tumor
TCGA-KK-A8IB-01	01	tumor
TCGA-YL-A9WL-01	01	tumor
TCGA-G9-6343-01	01	tumor
TCGA-KK-A7AP-01	01	tumor
TCGA-VN-A88M-01	01	tumor
TCGA-KC-A7F5-01	01	tumor
TCGA-XQ-A8TA-01	01	tumor
TCGA-2A-A8VX-01	01	tumor
TCGA-VP-A87K-01	01	tumor
TCGA-HC-7747-11	11	adj_norm
TCGA-EJ-7781-11	11	adj_norm
TCGA-EJ-7789-11	11	adj_norm
TCGA-J4-A83J-11	11	adj_norm
TCGA-EJ-7794-11	11	adj_norm
TCGA-HC-7737-11	11	adj_norm
TCGA-EJ-7784-11	11	adj_norm
TCGA-HC-7738-11	11	adj_norm
TCGA-EJ-7792-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-CH-5769-11	11	adj_norm
TCGA-EJ-7315-11	11	adj_norm
TCGA-EJ-7797-11	11	adj_norm
TCGA-G9-6356-11	11	adj_norm
TCGA-G9-6342-11	11	adj_norm
TCGA-G9-6333-11	11	adj_norm
TCGA-EJ-7782-11	11	adj_norm
TCGA-EJ-7330-11	11	adj_norm
TCGA-HC-8260-11	11	adj_norm
TCGA-HC-7742-11	11	adj_norm
TCGA-EJ-7331-11	11	adj_norm
TCGA-G9-6363-11	11	adj_norm
TCGA-HC-7819-11	11	adj_norm
TCGA-G9-6496-11	11	adj_norm
TCGA-G9-6348-11	11	adj_norm
