sample_ID	type_code	type
TCGA-HC-A6AL-01	01	tumor
TCGA-HC-A6AN-01	01	tumor
TCGA-M7-A722-01	01	tumor
TCGA-J4-A67S-01	01	tumor
TCGA-KK-A6E8-01	01	tumor
TCGA-KK-A7AZ-01	01	tumor
TCGA-QU-A6IN-01	01	tumor
TCGA-HC-A6AQ-01	01	tumor
TCGA-MG-AAMC-01	01	tumor
TCGA-FC-A6HD-01	01	tumor
TCGA-YL-A9WI-01	01	tumor
TCGA-VN-A88K-01	01	tumor
TCGA-HC-8256-01	01	tumor
TCGA-2A-A8VV-01	01	tumor
TCGA-G9-A9S4-01	01	tumor
TCGA-XQ-A8TA-01	01	tumor
TCGA-G9-A9S0-01	01	tumor
TCGA-V1-A8ML-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-KK-A7AY-01	01	tumor
TCGA-KK-A6E0-01	01	tumor
TCGA-G9-A9S7-01	01	tumor
TCGA-EJ-A65G-01	01	tumor
TCGA-VN-A943-01	01	tumor
TCGA-XK-AAJA-01	01	tumor
TCGA-EJ-7786-11	11	adj_norm
TCGA-HC-8258-11	11	adj_norm
TCGA-J4-A83J-11	11	adj_norm
TCGA-EJ-7781-11	11	adj_norm
TCGA-HC-7737-11	11	adj_norm
TCGA-HC-7752-11	11	adj_norm
TCGA-EJ-7314-11	11	adj_norm
TCGA-G9-6384-11	11	adj_norm
TCGA-EJ-A8FO-11	11	adj_norm
TCGA-EJ-7331-11	11	adj_norm
TCGA-G9-6363-11	11	adj_norm
TCGA-EJ-7330-11	11	adj_norm
TCGA-G9-6362-11	11	adj_norm
TCGA-EJ-7327-11	11	adj_norm
TCGA-CH-5769-11	11	adj_norm
TCGA-CH-5768-11	11	adj_norm
TCGA-EJ-7793-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-HC-8259-11	11	adj_norm
TCGA-EJ-7789-11	11	adj_norm
TCGA-EJ-7785-11	11	adj_norm
TCGA-EJ-7792-11	11	adj_norm
TCGA-EJ-7115-11	11	adj_norm
TCGA-EJ-7784-11	11	adj_norm
TCGA-EJ-7315-11	11	adj_norm
