sample_ID	type_code	type
TCGA-KK-A6E4-01	01	tumor
TCGA-QU-A6IN-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-J4-A67K-01	01	tumor
TCGA-KK-A6E8-01	01	tumor
TCGA-M7-A722-01	01	tumor
TCGA-KC-A7F5-01	01	tumor
TCGA-M7-A71Z-01	01	tumor
TCGA-HC-A6AQ-01	01	tumor
TCGA-MG-AAMC-01	01	tumor
TCGA-XJ-A9DX-01	01	tumor
TCGA-YL-A9WH-01	01	tumor
TCGA-EJ-7325-01	01	tumor
TCGA-Y6-A9XI-01	01	tumor
TCGA-V1-A9OQ-01	01	tumor
TCGA-G9-6379-01	01	tumor
TCGA-V1-A8ML-01	01	tumor
TCGA-VP-AA1N-01	01	tumor
TCGA-TP-A8TV-01	01	tumor
TCGA-KC-A7FA-01	01	tumor
TCGA-J4-A67R-01	01	tumor
TCGA-XK-AAJ3-01	01	tumor
TCGA-G9-6363-01	01	tumor
TCGA-KK-A6E0-01	01	tumor
TCGA-KK-A8ID-01	01	tumor
TCGA-HC-7752-11	11	adj_norm
TCGA-EJ-7797-11	11	adj_norm
TCGA-HC-8258-11	11	adj_norm
TCGA-G9-6384-11	11	adj_norm
TCGA-EJ-7123-11	11	adj_norm
TCGA-J4-A83J-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-HC-7738-11	11	adj_norm
TCGA-EJ-7794-11	11	adj_norm
TCGA-HC-7745-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-EJ-7784-11	11	adj_norm
TCGA-HC-8262-11	11	adj_norm
TCGA-CH-5761-11	11	adj_norm
TCGA-HC-7737-11	11	adj_norm
TCGA-G9-6342-11	11	adj_norm
TCGA-CH-5768-11	11	adj_norm
TCGA-HC-7747-11	11	adj_norm
TCGA-EJ-7330-11	11	adj_norm
TCGA-HC-7211-11	11	adj_norm
TCGA-G9-6348-11	11	adj_norm
TCGA-EJ-A8FO-11	11	adj_norm
TCGA-EJ-7781-11	11	adj_norm
TCGA-EJ-7327-11	11	adj_norm
TCGA-EJ-7328-11	11	adj_norm
