sample_ID	type_code	type
TCGA-KK-A8IK-01	01	tumor
TCGA-H9-A6BY-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-M7-A724-01	01	tumor
TCGA-M7-A71Z-01	01	tumor
TCGA-QU-A6IN-01	01	tumor
TCGA-QU-A6IM-01	01	tumor
TCGA-EJ-7325-01	01	tumor
TCGA-HC-7752-01	01	tumor
TCGA-XK-AAK1-01	01	tumor
TCGA-YL-A8SP-01	01	tumor
TCGA-TP-A8TV-01	01	tumor
TCGA-G9-6371-01	01	tumor
TCGA-YL-A9WI-01	01	tumor
TCGA-KK-A59X-01	01	tumor
TCGA-XJ-A9DX-01	01	tumor
TCGA-HC-A8CY-01	01	tumor
TCGA-VP-A87J-01	01	tumor
TCGA-EJ-A65M-01	01	tumor
TCGA-J4-A67S-01	01	tumor
TCGA-EJ-A46F-01	01	tumor
TCGA-MG-AAMC-01	01	tumor
TCGA-KK-A6E2-01	01	tumor
TCGA-J9-A8CN-01	01	tumor
TCGA-HC-A6AN-01	01	tumor
TCGA-EJ-7793-11	11	adj_norm
TCGA-EJ-7321-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-J4-A83J-11	11	adj_norm
TCGA-HC-7752-11	11	adj_norm
TCGA-EJ-7792-11	11	adj_norm
TCGA-EJ-7781-11	11	adj_norm
TCGA-HC-7738-11	11	adj_norm
TCGA-EJ-7330-11	11	adj_norm
TCGA-EJ-7786-11	11	adj_norm
TCGA-G9-6499-11	11	adj_norm
TCGA-EJ-7115-11	11	adj_norm
TCGA-G9-6351-11	11	adj_norm
TCGA-HC-7745-11	11	adj_norm
TCGA-EJ-7123-11	11	adj_norm
TCGA-CH-5761-11	11	adj_norm
TCGA-EJ-7789-11	11	adj_norm
TCGA-EJ-7317-11	11	adj_norm
TCGA-HC-7747-11	11	adj_norm
TCGA-G9-6384-11	11	adj_norm
TCGA-HC-8258-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-G9-6363-11	11	adj_norm
TCGA-EJ-7782-11	11	adj_norm
TCGA-HC-8259-11	11	adj_norm
