sample_ID	type_code	type
TCGA-EJ-A65D-01	01	tumor
TCGA-G9-6369-01	01	tumor
TCGA-XK-AAK1-01	01	tumor
TCGA-KK-A7AW-01	01	tumor
TCGA-M7-A724-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-KK-A6E8-01	01	tumor
TCGA-M7-A722-01	01	tumor
TCGA-EJ-A46F-01	01	tumor
TCGA-M7-A71Z-01	01	tumor
TCGA-HC-A6HY-01	01	tumor
TCGA-KC-A7F5-01	01	tumor
TCGA-G9-6379-01	01	tumor
TCGA-2A-AAYF-01	01	tumor
TCGA-VP-A87H-01	01	tumor
TCGA-CH-5788-01	01	tumor
TCGA-VP-A875-01	01	tumor
TCGA-MG-AAMC-01	01	tumor
TCGA-J4-A67S-01	01	tumor
TCGA-V1-A9OF-01	01	tumor
TCGA-XJ-A83G-01	01	tumor
TCGA-KK-A8IK-01	01	tumor
TCGA-KK-A7AQ-01	01	tumor
TCGA-KK-A8ID-01	01	tumor
TCGA-G9-6363-01	01	tumor
TCGA-HC-7738-11	11	adj_norm
TCGA-HC-7752-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-EJ-7793-11	11	adj_norm
TCGA-EJ-7321-11	11	adj_norm
TCGA-J4-A83J-11	11	adj_norm
TCGA-G9-6384-11	11	adj_norm
TCGA-G9-6348-11	11	adj_norm
TCGA-HC-8258-11	11	adj_norm
TCGA-EJ-7784-11	11	adj_norm
TCGA-EJ-7330-11	11	adj_norm
TCGA-EJ-7328-11	11	adj_norm
TCGA-HC-7747-11	11	adj_norm
TCGA-CH-5768-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-G9-6342-11	11	adj_norm
TCGA-G9-6363-11	11	adj_norm
TCGA-EJ-7792-11	11	adj_norm
TCGA-EJ-7317-11	11	adj_norm
TCGA-HC-8262-11	11	adj_norm
TCGA-HC-7737-11	11	adj_norm
TCGA-EJ-7785-11	11	adj_norm
TCGA-EJ-7123-11	11	adj_norm
TCGA-HC-7211-11	11	adj_norm
TCGA-EJ-7782-11	11	adj_norm
