sample_ID	type_code	type
TCGA-XK-AAK1-01	01	tumor
TCGA-EJ-A65D-01	01	tumor
TCGA-KK-A6E8-01	01	tumor
TCGA-HC-A6AL-01	01	tumor
TCGA-M7-A722-01	01	tumor
TCGA-EJ-7325-01	01	tumor
TCGA-H9-A6BY-01	01	tumor
TCGA-M7-A724-01	01	tumor
TCGA-KK-A7AW-01	01	tumor
TCGA-J4-A67S-01	01	tumor
TCGA-EJ-A7NF-01	01	tumor
TCGA-FC-A66V-01	01	tumor
TCGA-XK-AAJA-01	01	tumor
TCGA-Y6-A9XI-01	01	tumor
TCGA-G9-6373-01	01	tumor
TCGA-VN-A88O-01	01	tumor
TCGA-EJ-A65J-01	01	tumor
TCGA-V1-A9OL-01	01	tumor
TCGA-G9-A9S4-01	01	tumor
TCGA-G9-A9S0-01	01	tumor
TCGA-HC-7075-01	01	tumor
TCGA-VP-A87H-01	01	tumor
TCGA-TP-A8TV-01	01	tumor
TCGA-KK-A6E2-01	01	tumor
TCGA-YL-A8SL-01	01	tumor
TCGA-EJ-7328-11	11	adj_norm
TCGA-HC-7745-11	11	adj_norm
TCGA-HC-7747-11	11	adj_norm
TCGA-EJ-A8FO-11	11	adj_norm
TCGA-EJ-7793-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-HC-8262-11	11	adj_norm
TCGA-EJ-7781-11	11	adj_norm
TCGA-EJ-7331-11	11	adj_norm
TCGA-HC-7752-11	11	adj_norm
TCGA-EJ-7115-11	11	adj_norm
TCGA-HC-8258-11	11	adj_norm
TCGA-EJ-7125-11	11	adj_norm
TCGA-HC-7742-11	11	adj_norm
TCGA-HC-7211-11	11	adj_norm
TCGA-G9-6342-11	11	adj_norm
TCGA-HC-7819-11	11	adj_norm
TCGA-EJ-7314-11	11	adj_norm
TCGA-CH-5761-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-CH-5769-11	11	adj_norm
TCGA-EJ-7786-11	11	adj_norm
TCGA-EJ-7317-11	11	adj_norm
TCGA-EJ-7797-11	11	adj_norm
TCGA-EJ-7123-11	11	adj_norm
