sample_ID	type_code	type
TCGA-KK-A7AZ-01	01	tumor
TCGA-EJ-A65D-01	01	tumor
TCGA-HC-A6AL-01	01	tumor
TCGA-KK-A6E8-01	01	tumor
TCGA-QU-A6IL-01	01	tumor
TCGA-XK-AAK1-01	01	tumor
TCGA-J4-A67N-01	01	tumor
TCGA-HC-7752-01	01	tumor
TCGA-KK-A6E4-01	01	tumor
TCGA-EJ-7325-01	01	tumor
TCGA-XJ-A83F-01	01	tumor
TCGA-KK-A8IF-01	01	tumor
TCGA-HC-A6AP-01	01	tumor
TCGA-G9-7525-01	01	tumor
TCGA-VP-AA1N-01	01	tumor
TCGA-YL-A8SA-01	01	tumor
TCGA-EJ-A65J-01	01	tumor
TCGA-G9-6362-01	01	tumor
TCGA-HC-8256-01	01	tumor
TCGA-VN-A88N-01	01	tumor
TCGA-G9-6371-01	01	tumor
TCGA-KK-A59X-01	01	tumor
TCGA-2A-AAYF-01	01	tumor
TCGA-KK-A5A1-01	01	tumor
TCGA-QU-A6IO-01	01	tumor
TCGA-EJ-7330-11	11	adj_norm
TCGA-EJ-7797-11	11	adj_norm
TCGA-EJ-7331-11	11	adj_norm
TCGA-EJ-7321-11	11	adj_norm
TCGA-HC-8258-11	11	adj_norm
TCGA-EJ-7785-11	11	adj_norm
TCGA-HC-7752-11	11	adj_norm
TCGA-EJ-7123-11	11	adj_norm
TCGA-EJ-7314-11	11	adj_norm
TCGA-EJ-7794-11	11	adj_norm
TCGA-EJ-7781-11	11	adj_norm
TCGA-EJ-7317-11	11	adj_norm
TCGA-EJ-7782-11	11	adj_norm
TCGA-EJ-7125-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-CH-5768-11	11	adj_norm
TCGA-HC-7745-11	11	adj_norm
TCGA-CH-5761-11	11	adj_norm
TCGA-G9-6351-11	11	adj_norm
TCGA-G9-6499-11	11	adj_norm
TCGA-EJ-7115-11	11	adj_norm
TCGA-G9-6365-11	11	adj_norm
TCGA-EJ-7328-11	11	adj_norm
TCGA-EJ-A8FO-11	11	adj_norm
TCGA-EJ-7793-11	11	adj_norm
