sample_ID	type_code	type
TCGA-H9-A6BY-01	01	tumor
TCGA-KK-A7AW-01	01	tumor
TCGA-KK-A7AZ-01	01	tumor
TCGA-HC-A6AO-01	01	tumor
TCGA-G9-6369-01	01	tumor
TCGA-XK-AAK1-01	01	tumor
TCGA-KK-A8IK-01	01	tumor
TCGA-HC-A6AL-01	01	tumor
TCGA-QU-A6IL-01	01	tumor
TCGA-HC-7752-01	01	tumor
TCGA-G9-6363-01	01	tumor
TCGA-YL-A8S9-01	01	tumor
TCGA-G9-6339-01	01	tumor
TCGA-HC-A76X-01	01	tumor
TCGA-HC-7819-01	01	tumor
TCGA-KK-A8IF-01	01	tumor
TCGA-HC-A6AP-01	01	tumor
TCGA-HC-8256-01	01	tumor
TCGA-KK-A7B0-01	01	tumor
TCGA-EJ-A7NF-01	01	tumor
TCGA-VN-A88O-01	01	tumor
TCGA-HC-A6HY-01	01	tumor
TCGA-HC-7230-01	01	tumor
TCGA-EJ-A65M-01	01	tumor
TCGA-VN-A88N-01	01	tumor
TCGA-EJ-7785-11	11	adj_norm
TCGA-CH-5767-11	11	adj_norm
TCGA-HC-8258-11	11	adj_norm
TCGA-HC-7740-11	11	adj_norm
TCGA-G9-6348-11	11	adj_norm
TCGA-HC-7747-11	11	adj_norm
TCGA-EJ-7784-11	11	adj_norm
TCGA-EJ-7783-11	11	adj_norm
TCGA-EJ-7315-11	11	adj_norm
TCGA-EJ-7789-11	11	adj_norm
TCGA-EJ-7786-11	11	adj_norm
TCGA-HC-7211-11	11	adj_norm
TCGA-HC-7742-11	11	adj_norm
TCGA-CH-5768-11	11	adj_norm
TCGA-G9-6363-11	11	adj_norm
TCGA-EJ-7317-11	11	adj_norm
TCGA-EJ-7331-11	11	adj_norm
TCGA-EJ-7314-11	11	adj_norm
TCGA-EJ-7792-11	11	adj_norm
TCGA-HC-8259-11	11	adj_norm
TCGA-HC-8260-11	11	adj_norm
TCGA-EJ-7115-11	11	adj_norm
TCGA-G9-6365-11	11	adj_norm
TCGA-EJ-7794-11	11	adj_norm
TCGA-HC-7737-11	11	adj_norm
